Time,SoC,Temperature,SoH
0.0,79.66874764651764,24.86017464800838,95.03816493918782
1.0008506774902344,80.02326509930997,24.79941489426732,95.0870202200857
2.0011608600616455,80.21565909315271,24.891785257782548,95.08201823956553
3.00168514251709,80.35586168536165,24.81185408523304,95.08802140356913
4.002279281616211,80.55173071442678,24.634846071441878,95.13494329934174
5.002856492996216,80.2545302328317,24.466701130647813,95.12497241290713
6.003643035888672,79.88512900191843,24.431303410253115,95.16134966951105
7.0048747062683105,80.30434946519674,24.37617629412448,95.1544323974437
8.004643440246582,79.86316321114145,24.46999918304035,95.20335622850526
9.005256652832031,80.15097541590482,24.503005399395317,95.29879020475252
10.00575852394104,79.86648462934916,24.57948599560383,95.38389358397387
11.006216049194336,80.01621518639455,24.44389878245561,95.40100637721959
12.006950378417969,80.5020069037813,24.253330610527907,95.49795363321937
13.00758981704712,80.36192885881675,24.324416759999394,95.5675789700462
14.00795865058899,80.42852020799253,24.225821413807296,95.56843791220889
